Item ID,Item Name,Item Number
item-1743,ID: Curtain Call,1
item-1744,The Witch's Plan,1
item-1758,Icon: Original Sin - Leviathan,1
item-1759,Icon: Original Sin - Samael,1
item-1760,Icon: "The Commander is at Griffin",1
item-1761,Icon: Agent "Dima",1
item-1762,ID: Last Gaming,1
item-1763,ID: City of Tomorrow,1
item-1764,ID: First Light,1
item-1765,ID: Cold Shelter,1
item-1766,Background: Safe House,1
item-1770,Icon: Spring,1
item-1771,Icon: Summer,1
item-1772,Icon: Fall,1
item-1773,Icon: Winter,1
item-1774,ID: Work Checklist,1
item-1776,ID: Girls by the Hearth,1
item-1844,ID: Spring Carnival,1
item-1860,ID: Fragments of Precious Treasures,1
item-1906,Icon: Scry Thy Heart,1
item-1907,Icon: Taste the Warmth,1
item-1908,Icon: Memory of a Friend,1
item-1909,Icon: Sigh of Nostalgia,1
item-1910,Icon: Toil for Tomorrow,1
item-1911,Icon: Call of the Devil,1
item-1912,Icon: Mourning ★ Tears,1
item-1913,Icon: Demon Overlord ☆ Mind's Eye,1
item-1914,ID: Cozy Tatami,1
item-1915,Background: Birthplace of Dreams,1
item-1916,Background: Promised Dream Hotel,1
item-4001,City's Gift,43777
item-4002,Snowfield's Gift,238
item-4003,Forest's Gift,1599
item-4004,Wasteland's Gift,544
item-6001,Ordinary Meat Bun,11
item-6002,Bundle of Meat Buns,21
item-6003,Trove of Meat Buns,35
item-6004,Commonfolk Standard,11
item-6005,Comfort Bucket for One,25
item-6006,Full Meal for Two,99
item-6007,Strawberry Cheesecake Slice,2
item-6008,One Week's Cake Selection,18
item-6009,Sweet Explosives,123
item-6010,"Baby  B-A-B-Y.",7
item-6011,Streetside Oden,9
item-6012,Wild Honeycomb,5
item-6013,Icy Theater,4
item-7004,Lovestruck,6
item-7013,Stormy Cloud,2
item-8001,Intel Points,2410
item-8003,Intel Points,0
item-9003,Supply Box,0
item-9004,Supply Box,0
item-9006,item-10009006,1
item-9007,item-10009007,1
item-10603,Extra Potential Energy,0
item-10604,Extra Impulse,61
item-100009,Crown of Respect,20
item-100012,Metal Zongzi,12
item-100020,True Core Mask·3rd Anniversary,0
item-100021,Crate,0
item-100023,White Knight Armor Fragments,120
item-100025,True Core Mask - Shattered Connexion,0
item-100030,Nova Medal,7
item-100031,Platinum Medal,48
item-100032,item-10100032,0
item-100034,Platinum Medal,3
item-100035,Tangerine Coin,60
item-100047,Nova Medal,3
item-100048,Platinum Medal,2
item-100050,Nova Medal – Il Teatrino,2
item-100051,Platinum Medal – Il Teatrino,2
item-100052,Augustus,0
item-100062,Jade Coffer,0
item-100063,Strange Soap,4
item-100064,Nova Medal,0
item-100065,Platinum Medal,0
item-100066,Butterfly Mirage,0
item-100067,Nova Medal - Butterfly in a Cocoon,0
item-100068,Platinum Medal - Butterfly in a Cocoon,1
item-100069,Commander Headwear: Monster Overlord,2
item-100070,Phoenix Token,1
item-100071,Nova Medal - Bounty Feast,4
item-100072,Platinum Medal - Bounty Feast,4
item-100073,Star Ornament,10
item-100074,Nova Medal·A Snowy Night Capriccio,1
item-100075,Platinum Medal·A Snowy Night Capriccio,3
item-100081,Nova Medal - The Photo Studio Mystery,3
item-100082,Platinum Medal - The Photo Studio Mystery,3
item-100083,Tangerine Coin,0
item-100085,Platinum Medal,1
item-100092,Nova Medal - Far Side of the Sea,2
item-100093,Platinum Medal - Far Side of the Sea,4
item-100094,Azure Conch,10
item-100098,Nova Medal – My Devil's Frontline,2
item-100099,Platinum Medal – My Devil's Frontline,2
item-100100,Token of Life,20
item-100108,Strange Soap,10
item-100109,Nova Medal - Freaky Pandemic,3
item-100110,Platinum Medal - Freaky Pandemic,1
item-110001,Carnival Event Points,1830
item-110002,Carnival Event Points,2430
item-110003,Carnival Event Points,2430
item-110004,Carnival Event Points,1840
item-110006,Event Points,2120
item-110007,Event Points,1840
item-110008,Event Points,3000
item-110009,Event Points,2750
item-110010,Event Points,3000
item-110011,Event Points,2670
item-110012,Event Points,2500
item-110013,Event Points,2550
item-110014,Event Points,1850
item-110015,Event Points,2270
item-110016,Event Points,2010
item-110017,Event Points,2650
item-110018,Event Points,2010
item-120001,Besties Chatter,1
item-120002,Besties Chatter,1
item-120003,Besties Chatter,1
item-120004,Besties Chatter,1
item-120005,Besties Chatter,1
item-120006,Besties Chatter,1
item-900031,Platinum Medal,2
item-900032,Nova Medal,3
item-900034,Nova Medal·Shattered Connexion,4
item-900035,Platinum Medal·Shattered Connexion,0
item-900036,Crown of Respect,20
item-900037,Nova Medal·DJMAX,126
item-900038,Platinum Medal·DJMAX,45
item-1100001,High-Speed Beauties,1
item-1100002,High-Speed Beauties,1
item-1100003,Galactic Oath,1
item-1100004,Galactic Oath,1
item-1100005,Bon appétit !,1
item-1100006,Bon appétit !,1
gift-100001,Lollipop,54
gift-100002,Ice Cream Cone,4
gift-100003,Strawberry Custard Cheesecake,1013
gift-100005,Mulan Tea,1
gift-100006,Magic of Happiness,1
gift-100007,Whiskey,1
gift-100008,Eden's Apple,10
gift-200003,Beer on Discount,1
gift-200004,Paper Target,1
gift-200005,Kandel Formulation,1
gift-200006,Satan's Tears,10
gift-400001,Rapid Growth Disk,2530
furniture-10110,State-of-the-Art Workbench,10
furniture-10210,Large Cat Castle,10
furniture-10310,Integrated Canine Care Station,10
furniture-10410,Advanced Compound Bird Cage,10
furniture-10510,Fully-Automatic Twin-Level Temperature-Controlled Playpen,10
furniture-20110,Digital Era Desk,10
furniture-20210,Advanced Drone Console,10
furniture-20310,Advanced Automated Operating Station,10
furniture-20510,Modern Large Server,10
furniture-20410,Hard Disk Array Data Table,10
furniture-20610,Advanced Automated Writer,10
furniture-20700,Bookshelf of Memories,0
furniture-30110,Fairy Palace,10
furniture-30210,King Railway Hub Model,10
furniture-30310,Advanced Warehouse Model,10
furniture-30410,Twin Moon Weather System,10
furniture-40023,Cafe Bar Coffee Machine,0
furniture-40024,Gramophone,0
furniture-40026,Notebook,0
furniture-40027,Projector,0
furniture-40028,Comic Stand,0
furniture-50110,Data Detection Hub,10
furniture-50210,Holographic Mission Center,10
furniture-50310,Ultra High-Speed Liquid-Cooled Storage,10
furniture-50410,Futuristic Analysis Terminal,10
furniture-60110,Storeroom,10
furniture-60203,Large Maintenance Machinery,3
furniture-60310,Integrated Indoor Training Range,10
furniture-60400,Elevator - To the camp,0
furniture-70100,Elevator - To the garage,0
furniture-70003,furniture_establish-10070003,0
furniture-70004,furniture_establish-10070004,0
furniture-70005,furniture_establish-10070005,0
furniture-70006,furniture_establish-10070006,0
furniture-70007,furniture_establish-10070007,0
furniture-70008,furniture_establish-10070008,0
furniture-70009,furniture_establish-10070009,0
furniture-70010,furniture_establish-10070010,0
furniture-80007,Real Time Relay Terminal,0
furniture-80011,Black Market Shop,0
furniture-80110,Advanced Gate Console,10
furniture-80306,Advanced Loot Rack,6
furniture-90110,Impulse Reactor,10
furniture-90205,Tactical Chip Research Station,5
furniture-90400,Symmetric Infusion Drive,0
